,tweetID,tweet_text,tweet_class
721,2.66E+17,nothing els matter today except vote obama + hurricane relief effort . god bless america . # vote today .,not_excl
2439,2.63E+17,". _MENTIOM_ : aid recovery hurricane # sandy , text red cross _NUM_ make $ _NUM_ donation visit ... _URL_",request
1132,2.64E+17,clear mind medical give donation american red cross hurricane sandy relief effort . _URL_,not_excl
1975,2.64E+17,itunes store - itunes accept relief donation hurricane sandy victim _URL_,request
2713,2.65E+17,"hurricane sandy come together benefit end . donate : _NUM_helpnow , text redcross _NUM_ give $ _NUM_ donation _URL_",request
961,2.64E+17,"_RT_ : _RT_ : low 's donate $ _NUM_ million hurricane relief effort , match _MENTIOM_ earnings tm ( ...",not_excl
1094,2.64E+17,i 'm proud mouse ( ) - mt _MENTIOM_ disney announces $ _NUM_ million hurricane sandy relief / rebuild _URL_,not_excl
823,2.64E+17,"tip remain safe hurricane sandy , visit _URL_",not_excl
1996,2.64E+17,help affect hurricane sandy online ! _URL_ # sandy,request
795,2.66E+17,attn tristate ! please text _NUM_ find polling place change due hurricane sandy . # vote,not_excl
2208,2.65E+17,put fundraise _NUM_ diabetic kid hold hurricane sandy crisis control . $ _NUM_ help _URL_ rt,request
1180,2.64E+17,via generalelectric : we 're proud ge team machine power hurricane # sandy relief effort : ... _URL_,not_excl
644,2.63E+17,"also guy want help hurricane relief , donate salvation army . they 're know homophobic practice .",not_excl
2093,2.65E+17,please tune one many station carry hurricane sandy relief concert donate # sandyaid,request
884,2.65E+17,_RT_ : amazing _MENTIOM_ donate _NUM_/_NUM_ million hurricane sandy !,not_excl
1477,2.66E+17,hurricane sandy photography fundraiser nov . _NUM_/_NUM_ th mark brown photography donate session fee red cross . call _NUM_-_NUM_-_NUM_ .,request
101,2.66E+17,"look way help family affect hurricane , friends baby buggy ... _URL_",request
701,2.65E+17,_MENTIOM_ - occupy wall street outperform red cross hurricane relief ? # sandy _MENTIOM_ _MENTIOM_ _URL_,not_excl
859,2.65E+17,giant donate _NUM_ million hurricane sandy woop wooppp,not_excl
1646,2.65E+17,_RT_ : house yes bushwick ( _NUM_ maujer street ) collect donation hurricane relief . _URL_,request
2386,2.64E+17,_RT_ : mi gent ... please make donation latism hurricane sandy relief fund wepay ! _URL_ via _MENTIOM_ # la ...,request
2510,2.64E+17,"_RT_ : donate $ _NUM_ red cross hurricane disaster relief effort , send confirmation via email ( ... http : / ...",request
933,2.66E+17,_RT_ : nbc 's hurricane # sandy telethon friday raise $ _NUM_ million red cross relief effort : _URL_,not_excl
519,2.66E+17,"_RT_ : quick , easy guide help hurricane sandy relief effort matter : _URL_ ...",not_excl
1925,2.63E+17,donate hurricane sandy victim simple text message - tessa miller theres doubt youve ... _URL_,request
439,2.64E+17,( wash post tv blog ) nbc universal network air telethon hurricane sandy relief effort : nbc announce thu ... _URL_,not_excl
215,2.64E+17,well fargo say waive certain fee hurricane sandy victim _URL_,not_excl
1943,2.64E+17,_RT_ : hey everyone find local red cross give blood that 's easy way help hurricane sandy victim . c ...,request
1050,2.64E+17,"_RT_ : help researcher affect hurricane sandy , science exchange waiving fee _NUM_ . read ...",not_excl
470,2.64E+17,"let church arise help homeless , helpless , & hurt hurricane ! light !",not_excl
542,2.63E+17,_RT_ : romney campaign bus use hurricane relief effort man need office _MENTIOM_ _MENTIOM_ ...,not_excl
828,2.64E+17,atta boy . _MENTIOM_ : _MENTIOM_ _MENTIOM_ fdny nyc hurricane sandy relief . _URL_,not_excl
1361,2.64E+17,"viacom , disney contribute $ _NUM_ million hurricane sandy relief : viacom inc . walt disney co . donate ... _URL_",not_excl
1209,2.65E+17,walt disney co . donate $ _NUM_ million hurricane # sandy relief . _URL_ < nice .,not_excl
468,2.65E+17,"# hurricanesandy `` christina aguilera , mary j . blige , bruce springsteen , & play hurricane sandy relief _URL_ ``",not_excl
2563,2.65E+17,_RT_ : donated # dayofgiving help suffer hurricane sandy ? go : _URL_,request
1324,2.66E+17,donate _MENTIOM_ help animal affect hurricane # sandy : _URL_ # sandypets,not_excl
1948,2.64E+17,$ _NUM_ drop-off # papershredding _NUM_/_NUM_ . every box paper dispose safely help victim hurricane # sandy . _URL_,request
386,2.65E+17,work _MENTIOM_ help family afflict hurricane # sandy . detail come soon .,not_excl
2036,2.64E+17,encourage help hurricane # sandy relief effort # westhollywood . info donate : _URL_ # weho,request
899,2.65E+17,"_RT_ _MENTIOM_ : sunday , _NUM_ % sale madison avenue flagship donate _MENTIOM_ hurricane # sandy relief effort .",not_excl
674,2.64E+17,maybe money spend political ad could use help victim hurricane sandy ... # justathought,not_excl
2206,2.65E+17,raise money hurricane sandy relief . help decide _NUM_x_NUM_ _NUM_x_NUM_ print . _URL_ _URL_,request
1164,2.64E+17,"that 's ? _MENTIOM_ : care , people . nba nbpa donate $ _NUM_ million hurricane # sandy relief : _URL_",not_excl
2466,2.65E+17,_MENTIOM_ text redcross _NUM_ donate _NUM_ $ hurricane sandy relief _NUM_-_NUM_- help-now # sandyhelp,request
447,2.63E+17,update come help hurricane victims.assessing csi best help.we be n't big non-profit part !,not_excl
866,2.65E+17,"simondotweb verizon pledge $ _NUM_ million aid hurricane sandy victim | talkandro _URL_ , see _URL_",not_excl
379,2.63E+17,wish something could help affect hurricane,not_excl
2561,2.65E+17,_RT_ : would like donate _RT_ : hurricane sandy : help _MENTIOM_ / _URL_,request
1405,2.64E+17,please rt ! - operation mobwives save life accept donation _NUM_ hurricane sandy victim _URL_ _MENTIOM_ _MENTIOM_,request
2336,2.66E+17,please donate monetary amount _MENTIOM_ hurricane victim . text redcross _NUM_ . please help !,request
1980,2.64E+17,"please , join u js basketball . donate $ _NUM_ redcross text _NUM_ hurricane sandy victim",request
2052,2.64E+17,"_RT_ : hurricane sandy hit new jersey : _URL_ via _MENTIOM_ donate , text word redcross _NUM_ , $ _NUM_ add ...",request
1269,2.66E+17,sent hurricane sandy relief item _MENTIOM_ use _URL_ _NUM_taa_NUM_pjr_NUM_,not_excl
2337,2.66E+17,"bring can good , diaper , work glove . water , blanket stelliana 's help affect hurricane sandy . thanks help",request
1465,2.65E+17,_MENTIOM_ please help spread challenge & rt - request / challenge mitt romney help hurricane sandy _URL_,request
706,2.65E+17,"hurricane sandy hit , go florida keep campaigning , stop campaign help victim ? # forward # obama_NUM_",not_excl
631,2.63E+17,thought go affected hurricane sandy emergency relief crew work help affect .,not_excl
2644,2.65E+17,need volunteer hurricane sandy relief ! help u help other ! anyone sign fulton street lobby ... _URL_,request
958,2.64E+17,"_RT_ : d-wade say game postpone , donate hurricane victim ; francesa go marathon _URL_",not_excl
1838,2.65E+17,# kid # book series sale wk send _NUM_ % # redcross hurricane # sandy relief . # kidlit # parent - _URL_,request
1525,2.65E+17,"_MENTIOM_ , glad u & ur fam okay , bro . u think abt dedicate episode hurricane sandy relief ?",request
2015,2.64E+17,please take moment read aaj president _MENTIOM_ note help affect hurricane sandy _URL_,request
2542,2.65E+17,please donate hurricane relief . choose donate ... _URL_,request
2581,2.65E+17,"hey everyone , let 's make difference help affect hurricane ! ! ! text redcross _NUM_ make $ _NUM_ donation # sandyhelp",request
1430,2.65E+17,"come franklin firehouse _NUM_ clothing , food household need help victim hurricane sandy ! ! !",request
2087,2.65E+17,_RT_ : please donate much hurricane sandy relief ! text _NUM_ make $ _NUM_ donation red cross call ...,request
592,2.65E+17,' occupy wall street outperform red cross hurricane relief ? ' _URL_ # sandyvolunteer,not_excl
2646,2.65E+17,"donate red cross , . text redcross _NUM_ . # sandy # hurricane",request
2266,2.65E+17,cecilia celeste `` _NUM_ day `` - please donate hurricane relief ! ! _URL_,request
174,2.63E+17,connect hurricane sandy relief # facebook . # redcross _URL_,not_excl
2186,2.65E+17,donate red cross . please help hurricane survivor # sandy,request
108,2.64E+17,"nassau county , here 's help # hurricane # sandy survivor _URL_",not_excl
1628,2.65E+17,_MENTIOM_ : earnings tonight new york knicks game donate hurricane sandy victim ! ! ! # charitygame say ! !,request
2007,2.64E+17,join u tonight help raise money victim hurricane sandy . see information ! _URL_,request
61,2.64E+17,_RT_ : i 'll watch hurricane sandy relief benefit concert tonight _MENTIOM_ _NUM_p et . help raise money _MENTIOM_ ! # sand ...,request
629,2.63E+17,president obama visit disaster operation center red cross - pic _URL_ # sandy # hurricane _MENTIOM_ # p_NUM_b # p_NUM_,not_excl
1012,2.64E+17,"help # hurricane victim get hot meal - donation tax ded ! bbq pitmasters disaster relief _URL_ _MENTIOM_ , rt",not_excl
2021,2.64E+17,"folk look help post-hurricane recover , visit _URL_ ... _URL_",request
645,2.64E+17,superstorm sandy ripple hurricane may hit lagos within _NUM_ _NUM_ day commissioner : united state ... _URL_,not_excl
2411,2.64E+17,"hurricane # sandy benefit concert air _NUM_p et donate , visit _URL_ ; text redcross _NUM_ make $ _NUM_ donation . # sandyhelp .",request
192,2.64E+17,probably use _MENTIOM_ day sunday help victim hurricane # sandy . might well make situation .,not_excl
2441,2.63E+17,txt redcross _NUM_ ( $ _NUM_ donation ) help hurricane sandy victim _MENTIOM_ please rt spread word awesome animal !,request
1776,2.64E+17,help hurricane sandy victim : _NUM_ . contact local red cross office ask help ... _URL_,request
2753,2.66E+17,"ct care hold collection drive victim hurricane sandy friday , nov _NUM_ _NUM_ _NUM_ pm . cash check donation .",request
2281,2.65E+17,please donate red cross help victim hurricane sandy . many without home power . _URL_,request
1768,2.66E+17,"# comic fan , help victim hurricane sandy purchasing awesome artwork ! follow _MENTIOM_ twitter . _URL_",request
655,2.64E+17,happy see ann back ! ! report si _MENTIOM_ _MENTIOM_ : use _MENTIOM_ help hurricane victim . # rockcenter,not_excl
376,2.64E+17,_MENTIOM_ get _MENTIOM_ raise money hurricane sandy victim ? # asktheheel,not_excl
273,2.64E+17,want help _MENTIOM_ hurricane relief fun ? like page we 'll write check ! # hope # batteryparkcity _URL_,not_excl
370,2.64E+17,"heard cousin get redeploy platoon help victim hurricane sandy , proud . # nationalguard # hurricanesandy",not_excl
1287,2.64E+17,week-tv : ameren illinois worker help hurricane sandy relief effort ( photo gallery ) _URL_ # blononews,not_excl
2716,2.65E+17,_RT_ : text redcross _NUM_ make simple $ _NUM_ donation help victim hurricane sandy # sandyhelp ( please rt ),request
648,2.64E+17,please read . mitt romney want help hurricane victim ... _URL_ via _MENTIOM_,not_excl
2225,2.65E+17,"`` _MENTIOM_ : _MENTIOM_ jus take phone , pretend put number text _NUM_ . bam . donate $ _NUM_ hurricane relief : ) `` genius",request
1266,2.65E+17,_MENTIOM_ : viking wilf family pledge $ _NUM_ support hurricane sandy storm recovery effort . yay vikes !,not_excl
1174,2.64E+17,packer daily link : woodson pledge $ _NUM_ hurricane relief : packer defensive back charles woodson speak ... _URL_,not_excl
341,2.63E+17,would like pray wish everyone 's safety effect crazy hurricane sandy . well ... _URL_,not_excl
219,2.66E+17,_URL_ small business administration stand ready help hurricane sandy : affected hur ... gary rothfeld,not_excl
962,2.64E+17,_RT_ : dami datung ! _RT_ : # solarheadlines usec valte : ph donate $ _NUM_ hurricane sandy victim amer ...,not_excl
2572,2.66E+17,want help hurricane sandy victim ? check city harvest website make donation volunteer : _URL_,request
1163,2.64E+17,_NUM_ many reason make _MENTIOM_ freak awesome dude . sell two _NUM_wk program together $ _NUM_ help hurricane victim,not_excl
1297,2.65E+17,_NUM_st crw support azang hurricane sandy relief effort _URL_,not_excl
1663,2.65E+17,local collection drive hurricane sandy relief : want help victim hurricane sandy new york ... _URL_,request
1152,2.64E+17,proud announce submit donation _MENTIOM_ assist hurricane sandy relief effort . thank # wnwnation !,not_excl
2346,2.66E+17,donate via smartphone _NUM_ hurricane sandy relief # helpsandy click _URL_ pls give generously !,request
990,2.65E+17,# hurricane # sandy relief supply amazon registry # brooklyn . please share network ! _URL_,not_excl
1284,2.64E+17,"_RT_ : nfl , union donate $ _NUM_m hurricane sandy relief effort _URL_",not_excl
2245,2.65E+17,"visit _URL_ , call _NUM_-_NUM_- red-cross text redcross _NUM_ make $ _NUM_ donation hurricane sandy relief effo_RT_",request
1276,2.64E+17,_MENTIOM_ : chelsea handler donate $ _NUM_ red cross hurricane # sandy relief _URL_ go _MENTIOM_,not_excl
2533,2.65E+17,_MENTIOM_ go red cross website donate directly hurricane sandy relief fund .,request
2550,2.64E+17,text redcross _NUM_ give $ _NUM_ donation hurricane sandy relief effort . _URL_,request
2149,2.65E+17,txt redcross _NUM_ make _NUM_ donation victim hurricane sandy ! # sandyhelp,request
343,2.63E+17,"# gpv : hurricane sandy : quote : sheriff bart october _NUM_ , _NUM_ , _NUM_:_NUM_ : _NUM_ pmnot sure whether laugh ... _URL_",not_excl
602,2.64E+17,"new yorkers take social medium find , provide help hurricane sandy | raw story _URL_ _MENTIOM_",not_excl
745,2.63E+17,lord watch people damage hurricane sandy ! ...,not_excl
2636,2.65E+17,_RT_ : _MENTIOM_ donate $ _NUM_ american red cross hurricane sandy victim text redcross _NUM_ . plz rt,request
620,2.63E+17,like red cross hurricane app _URL_,not_excl
2548,2.65E+17,_RT_ : _URL_ - please check site donate individual affect hurricane sandy . thank ...,request
792,2.64E+17,wednesday 's daily brief : hurricane sandy relief effort begin _URL_,not_excl
913,2.64E+17,"_RT_ : christina aguilera , jon bon jovi , billy joel perform nbc benefit concert hurricane sandy victim : _URL_ ...",not_excl
1291,2.64E+17,_RT_ : new york yankee donate $ _NUM_ hurricane # sandy relief effort tri-state area .,not_excl
2513,2.65E+17,# sandyhelp . it 's easy . donate $ _NUM_ help affect hurricane sandy text redcross _NUM_ _URL_,request
2577,2.64E+17,_RT_ : well fargo accept atm donation hurricane victim _URL_,request
1742,2.65E+17,beauty _NUM_ weekend digest : give back help hurricane sandy victim _URL_ # beauty # blog,request
115,2.64E+17,"indianapolis , here 's help # hurricane # sandy survivor _URL_",not_excl
1347,2.66E+17,_RT_ : nbc 's hurricane sandy benefit raise lot money red cross _URL_,not_excl
1895,2.66E+17,_MENTIOM_ pls rt : ny & nj still need help ! buy hurricane sandy relief shirt . _NUM_ % profit _NUM_ affect sandy _URL_,request
715,2.66E+17,historic hotel bethlehem would like toast affected hurricane sandy wish quick ... _URL_,not_excl
1670,2.66E+17,_RT_ : # gh join effort help victim hurricane sandy abcs # dayofgiving today . see u help : h ...,request
1226,2.65E+17,thank arm force come help hurricane sandy relief ! sure appreciate help : ) # _URL_,not_excl
280,2.65E+17,way staten island help hurricane # sandy relief effort .,not_excl
516,2.64E+17,happen car damage hurricane sandy ? : believe deal almost everythi ... _URL_,not_excl
2804,2.63E+17,"addition red cross , resource available help affect hurricane sandy ... _URL_",request
497,2.63E+17,hurricane sandy arrive toronto : & $ _NUM_ _NUM_ _NUM_ _NUM_ _NUM_ _NUM_ & $ & $ _URL_,not_excl
2660,2.66E+17,_RT_ : please consider help victim hurricane sandy - text abc _NUM_ donate $ _NUM_ visit _URL_ ...,request
1448,2.65E+17,_RT_ : sat thing one 's cell phone ' accidentally ' text redcross _NUM_ donate _NUM_ buck hurricane sandy ...,request
80,2.65E+17,hurricane sandy cancel _NUM_ blood drive : help live update _MENTIOM_ _URL_,request
230,2.64E+17,bruce # springsteen jon # bonjovi perform benefit concert victim hurricane # sandy friday _URL_,not_excl
2755,2.63E+17,place accept donation & volunteer hurricane sandy relief . _URL_ _RT_,request
2218,2.65E+17,"# gh , _MENTIOM_ participate monday day give hurricane sandy relief & rebuild effort ! : _URL_ cc : _MENTIOM_",request
2201,2.65E+17,"time today , want help hurricane relief effort , pls make donation location _URL_",request
62,2.64E+17,_RT_ : hurricane sandy relief benefit concert tonight _MENTIOM_ _NUM_p et . help raise money _MENTIOM_ ! # sandyhelp,request
2499,2.65E+17,_RT_ : much love east coast ! text redcross _NUM_ donate affect hurricane sandy ! even sma ...,request
907,2.64E+17,_RT_ : region rally help hurricane sandy victim _URL_,not_excl
787,2.63E+17,disney acquisition lucasfilm strange hurricane fever dream ? new film every _NUM_ _NUM_ year ? ? i 'm terrified little excited .,not_excl
1533,2.64E+17,"_RT_ : everyone affect hurricane sandy , thought ! help people need , donate _URL_",request
247,2.64E+17,lad donate $ _NUM_ red cross hurricane # sandy relief effort every `` like `` facebook post receives _NUM_ : _NUM_ pm friday night,not_excl
1169,2.64E+17,nice > > > abbott abbott fund donate $ _NUM_ million funding product support hurricane sandy relief effort # goodcompany,not_excl
2673,2.64E+17,american red cross disaster relief fund time need . help victim hurricane sandy : _URL_,request
2220,2.65E+17,"new _MENTIOM_ : yahoos homepage isnt raise enough money hurricane sandy relief , let step _URL_",request
1989,2.64E+17,hurricane sandy : help need make monetary donation american red cross ... _URL_,request
904,2.65E+17,adam levine lend help poster hurricane sandy relief _URL_,not_excl
46,2.64E+17,hurricane # sandy cancel _NUM_ blood drive : help _URL_,request
269,2.64E+17,get together clothe food donate hurricane victim long island . every little bit help !,not_excl
1404,2.64E+17,help victim hurricane sandy : american red cross great new york region provide follow ... _URL_,request
932,2.64E+17,shower trailer combo unit send sandy relief effort _URL_ # hurricane,not_excl
441,2.64E+17,day _NUM_ : hurricane sandy relief effort caaav ! _URL_,not_excl
1905,2.63E+17,text redcross _NUM_ donate $ _NUM_ _MENTIOM_ relief effort ! # sandy # nyc # hurricane,request
2688,2.64E+17,want help victim hurricane sandy ? make donation red cross . # hurricanesandy detail : _URL_,request
1931,2.63E+17,affect . hurricane sandy . do n't send donation red cross . send shit .,request
1566,2.64E+17,way help victim hurricane sandy _URL_ # suppo_RT_ # hurricanesandy rt,request
2342,2.66E+17,"donation need help hurricane sandy relief effort , click east end effort _URL_",request
984,2.64E+17,"nfl , player 's union donate $ _NUM_m american red cross hurricane sandy relief ...",not_excl
487,2.65E+17,_URL_ _NUM_ % team rubicon hurricane sandy relief # teamrubicon,not_excl
1767,2.65E+17,want donate victim # hurricane # sandy ? _MENTIOM_ match every penny donate : _URL_ .,request
1659,2.65E+17,help light hurricane sandy _RT_ want help nyc ? start : _URL_ # sandy,request
2666,2.64E+17,_RT_ : donate # redcross help victim hurricane sandy + get urself lil somethin z process _MENTIOM_ charitable _NUM_ % ...,request
2595,2.64E+17,united way hurricane sandy relief fund ; everything help - _URL_,request
2121,2.65E+17,"_RT_ : want help hurricane victim , severn valley bapt . ch . show , sunday , participate ...",request
128,2.64E+17,"pensacola , here 's help # hurricane # sandy survivor _URL_",not_excl
2704,2.65E+17,_MENTIOM_ rt please # sandyhelp text _NUM_ red cross help affect hurricane sandy ... thanks !,request
1018,2.65E+17,general mill : general mill commit $ _NUM_ aid relief effort follow hurricane sandy _URL_,not_excl
759,2.63E+17,bollywood prays hurricane sandy victim _URL_,not_excl
1766,2.66E+17,_RT_ : _MENTIOM_ ty support fund raiser hurricane sandy victim _URL_,request
953,2.65E+17,_RT_ : downtown unity donate sunday 's offering red cross hurricane sandy relief ... _URL_ # action # prayer,not_excl
829,2.62E+17,red cross hurricane safety checklist . _URL_,not_excl
853,2.64E+17,# barack # obama : & quot ; p resident obama tour area damage hurricane sandy & quot ; - _URL_,not_excl
131,2.64E+17,"mercer island , here 's help # hurricane # sandy survivor _URL_",not_excl
